Grid,Japanese (Kanji),Japanese (Hiragana),Romanized Japanese,Longitude,Latitude,Classification
6546,秋勇留島,あきゆりとう,Akiyuri To,146゜ 00’,43゜ 21’,Island
6041,安家川,あっかがわ,Akka Gawa,141゜ 51’,40゜ 03’,River
6041,安家森,あっかもり,Akka Mori,141゜ 32’,40゜ 02’,Mountain
6444,厚岸町,あっけしちょう,Akkeshi Cho,144゜ 50’,43゜ 03’,Municipality
6444,厚岸湖,あっけしこ,Akkeshi Ko,144゜ 52’,43゜ 02’,Lake
6444,厚岸湾,あっけしわん,Akkeshi Wan,144゜ 47’,42゜ 59’,Sea Area
5234,赤穂市,あこうし,Ako Shi,134゜ 23’,34゜ 45’,Municipality
4830,阿久根市,あくねし,Akune Shi,130゜ 11’,32゜ 00’,Municipality
4429,悪石島,あくせきじま,Akuseki Jima,129゜ 35’,29゜ 27’,Island
5433,海士町,あまちょう,Ama Cho,133゜ 05’,36゜ 05’,Municipality
5536,海士崎,あまざき,Ama Zaki,136゜ 39’,37゜ 08’,Cape
5235,尼崎市,あまがさきし,Amagasaki Shi,135゜ 24’,34゜ 44’,Municipality
5338,雨ヶ岳,あまがたけ,Amagatake,138゜ 33’,35゜ 25’,Mountain
4128,天城町,あまぎちょう,Amagi Cho,128゜ 53’,27゜ 48’,Municipality
5239,天城山,あまぎさん,Amagi San,139゜ 00’,34゜ 51’,Mountain
5238,天城峠,あまぎとうげ,Amagi Toge,138゜ 56’,34゜ 49’,Pass
5236,雨乞岳,あまごいだけ,Amagoi Dake,136゜ 22’,35゜ 01’,Mountain
5537,雨飾山,あまかざりやま,Amakazari Yama,137゜ 57’,36゜ 54’,Mountain
4829,天草灘,あまくさなだ,Amakusa Nada,129゜ 39’,32゜ 21’,Sea Area
4830,天草市,あまくさし,Amakusa Shi,130゜ 11’,32゜ 27’,Municipality
4830,天草諸島,あまくさしょとう,Amakusa Shoto,130゜ 10’,32゜ 20’,Extensive natural featur
5440,雨巻山,あままきざん,Amamaki Zan,140゜ 08’,36゜ 24’,Mountain
,奄美海台,あまみかいだい,Amami Kaidai,132゜ 28’,28゜ 06’,Undersea feature
4229,奄美市,あまみし,Amami Shi,129゜ 29’,28゜ 22’,Municipality
4128,奄美諸島,あまみしょとう,Amami Shoto,128゜ 49’,27゜ 41’,Extensive natural featur
6240,天ノ川,あまのがわ,Amanogawa,140゜ 11’,41゜ 45’,River
5440,阿見町,あみまち,Ami Machi,140゜ 12’,36゜ 01’,Municipality
4730,天降川,あもりがわ,Amori Gawa,130゜ 44’,31゜ 42’,River
5536,穴水町,あなみずまち,Anamizu Machi,136゜ 54’,37゜ 13’,Municipality
5237,阿南町,あなんちょう,Anan Cho,137゜ 48’,35゜ 19’,Municipality
5034,阿南市,あなんし,Anan Shi,134゜ 39’,33゜ 55’,Municipality
4530,安房川,あんぼうがわ,Anbo Gawa,130゜ 36’,30゜ 19’,River
5135,安堵町,あんどちょう,Ando Cho,135゜ 45’,34゜ 36’,Municipality
3942,姉島,あねじま,Ane Jima,142゜ 09’,26゜ 33’,Island
,安永海山,あんえいかいざん,An-ei Kaizan,138゜ 40’,29゜ 20’,Undersea feature
6040,阿仁川,あにがわ,Ani Gawa,140゜ 20’,40゜ 08’,River
4042,兄島,あにじま,Ani Jima,142゜ 12’,27゜ 07’,Island
5237,安城市,あんじょうし,Anjo Shi,137゜ 04’,34゜ 57’,Municipality
5438,安中市,あんなかし,Annaka Shi,138゜ 53’,36゜ 19’,Municipality
5336,安八町,あんぱちちょう,Anpachi Cho,136゜ 39’,35゜ 20’,Municipality
4839,青ヶ島,あおがしま,Aogashima,139゜ 45’,32゜ 28’,Island
4839,青ケ島村,あおがしまむら,Aogashima Mura,139゜ 45’,32゜ 28’,Municipality
5438,青木村,あおきむら,Aoki Mura,138゜ 07’,36゜ 22’,Municipality
6140,青森県,あおもりけん,Aomori Ken,140゜ 44’,40゜ 49’,Municipality
6140,青森市,あおもりし,Aomori Shi,140゜ 44’,40゜ 49’,Municipality
6140,青森湾,あおもりわん,Aomori Wan,140゜ 43’,40゜ 53’,Sea Area
6339,青苗,あおなえ,Aonae,139゜ 26’,42゜ 03’,Populated area
6339,青苗岬,あおなえみさき,Aonae Misaki,139゜ 27’,42゜ 02’,Cape
5131,青野山,あおのやま,Aono Yama,131゜ 47’,34゜ 27’,Mountain
4731,青島,あおしま,Aoshima,131゜ 28’,31゜ 48’,Island
5032,青島,あおしま,Aoshima,132゜ 28’,33゜ 44’,Island
5740,青麻山,あおそやま,Aoso Yama,140゜ 36’,38゜ 05’,Mountain
6343,アポイ岳,あぽいだけ,Apoi Dake,143゜ 01’,42゜ 06’,Mountain
6342,厚別川,あっぺつがわ,Appetsu Gawa,142゜ 12’,42゜ 25’,River
5438,荒船山,あらふねさん,Arafune San,138゜ 38’,36゜ 12’,Mountain
3623,新城島,あらぐすくしま,Aragusuku Shima,123゜ 56’,24゜ 12’,Island
5237,新居町,あらいちょう,Arai Cho,137゜ 33’,34゜ 41’,Municipality
5539,荒海山,あらかいやま,Arakai Yama,139゜ 38’,37゜ 02’,Mountain
5339,荒川,あらかわ,Arakawa,139゜ 50’,35゜ 38’,River
5739,荒川,あらかわ,Arakawa,139゜ 23’,38゜ 08’,River
5338,荒川岳,あらかわだけ,Arakawa Dake,138゜ 09’,35゜ 29’,Mountain
5739,荒川町,あらかわまち,Arakawa Machi,139゜ 26’,38゜ 07’,Municipality
4229,荒木埼,あらきざき,Araki Zaki,129゜ 55’,28゜ 17’,Cape
4329,荒木埼,あらきざき,Araki Zaki,129゜ 13’,29゜ 07’,Cape
5840,荒雄岳,あらおだけ,Arao Dake,140゜ 41’,38゜ 49’,Mountain
4930,荒尾市,あらおし,Arao Shi,130゜ 26’,32゜ 59’,Municipality
3927,荒崎,あらさき,Arasaki,127゜ 40’,26゜ 04’,Cape
6240,荒沢岳,あらさわだけ,Arasawa Dake,140゜ 54’,41゜ 22’,Mountain
5336,荒島岳,あらしまだけ,Arashima Dake,136゜ 35’,35゜ 55’,Mountain
4930,有明海,ありあけかい,Ariake Kai,130゜ 16’,33゜ 02’,Sea Area
5135,有田川,ありだがわ,Arida Gawa,135゜ 04’,34゜ 04’,River
5135,有田市,ありだし,Arida Shi,135゜ 07’,34゜ 04’,Municipality
5135,有田川町,ありだがわちょう,Aridagawa Cho,135゜ 12’,34゜ 03’,Municipality
4928,有福島,ありふくじま,Arifuku Jima,128゜ 56’,32゜ 54’,Island
5235,有馬,ありま,Arima,135゜ 14’,34゜ 47’,Populated area
4929,有田町,ありたちょう,Arita Cho,129゜ 50’,33゜ 12’,Municipality
5131,厚狭川,あさがわ,Asa Gawa,131゜ 09’,34゜ 01’,River
5232,阿佐山,あさやま,Asa Yama,132゜ 22’,34゜ 47’,Mountain
4830,あさぎり町,あさぎりちょう,Asagiri Cho,130゜ 53’,32゜ 14’,Municipality
5334,朝来市,あさごし,Asago Shi,134゜ 51’,35゜ 20’,Municipality
5236,朝日町,あさひちょう,Asahi Cho,136゜ 39’,35゜ 02’,Municipality
6542,旭岳,あさひだけ,Asahi Dake,142゜ 51’,43゜ 39’,Mountain
5537,朝日岳,あさひだけ,Asahi Dake,137゜ 43’,36゜ 49’,Mountain
5739,朝日岳,あさひだけ,Asahi Dake,139゜ 54’,38゜ 15’,Mountain
5133,旭川,あさひがわ,Asahi Gawa,133゜ 58’,34゜ 36’,River
5537,朝日町,あさひまち,Asahi Machi,137゜ 33’,36゜ 56’,Municipality
5740,朝日町,あさひまち,Asahi Machi,140゜ 08’,38゜ 17’,Municipality
5437,朝日村,あさひむら,Asahi Mura,137゜ 51’,36゜ 07’,Municipality
5739,朝日村,あさひむら,Asahi Mura,139゜ 32’,38゜ 16’,Municipality
5340,旭市,あさひし,Asahi Shi,140゜ 38’,35゜ 43’,Municipality
6542,旭川市,あさひかわし,Asahikawa Shi,142゜ 21’,43゜ 46’,Municipality
5339,朝霞市,あさかし,Asaka Shi,139゜ 35’,35゜ 47’,Municipality
5540,浅川町,あさかわまち,Asakawa Machi,140゜ 24’,37゜ 04’,Municipality
5133,浅口市,あさくちし,Asakuchi Shi,133゜ 35’,34゜ 31’,Municipality
5030,朝倉市,あさくらし,Asakura Shi,130゜ 39’,33゜ 25’,Municipality
5339,浅草,あさくさ,Asakusa,139゜ 47’,35゜ 42’,Populated area
5639,浅草岳,あさくさだけ,Asakusa Dake,139゜ 13’,37゜ 20’,Mountain
5438,浅間山,あさまやま,Asama Yama,138゜ 30’,36゜ 24’,Mountain
5136,朝熊ヶ岳,あさまがたけ,Asamagatake,136゜ 46’,34゜ 27’,Mountain
5438,浅間隠山,あさまかくしやま,Asamakakushi Yama,138゜ 38’,36゜ 27’,Mountain
6140,浅虫,あさむし,Asamushi,140゜ 51’,40゜ 53’,Populated area
6040,浅瀬石川,あせいしがわ,Aseishi Gawa,140゜ 37’,40゜ 37’,River
5029,芦辺,あしべ,Ashibe,129゜ 45’,33゜ 47’,Populated area
6442,芦別岳,あしべつだけ,Ashibetsu Dake,142゜ 16’,43゜ 14’,Mountain
6542,芦別川,あしべつがわ,Ashibetsu Gawa,142゜ 09’,43゜ 27’,River
6542,芦別市,あしべつし,Ashibetsu Shi,142゜ 11’,43゜ 31’,Municipality
5133,芦田川,あしだがわ,Ashida Gawa,133゜ 24’,34゜ 25’,River
5439,足利市,あしかがし,Ashikaga Shi,139゜ 26’,36゜ 20’,Municipality
4830,芦北町,あしきたまち,Ashikita Machi,130゜ 29’,32゜ 17’,Municipality
5239,芦ノ湖,あしのこ,Ashinoko,139゜ 00’,35゜ 11’,Lake
5439,足尾山地,あしおさんち,Ashio Sanchi,139゜ 33’,36゜ 37’,Extensive natural featur
5238,愛鷹山,あしたかやま,Ashitaka Yama,138゜ 48’,35゜ 11’,Mountain
5030,芦屋町,あしやまち,Ashiya Machi,130゜ 39’,33゜ 53’,Municipality
5235,芦屋市,あしやし,Ashiya Shi,135゜ 18’,34゜ 43’,Municipality
4933,足摺岬,あしずりみさき,Ashizuri Misaki,133゜ 01’,32゜ 43’,Cape
6443,足寄町,あしょろちょう,Ashoro Cho,143゜ 33’,43゜ 14’,Municipality
6443,足寄川,あしょろがわ,Ashoro Gawa,143゜ 39’,43゜ 16’,River
4931,阿蘇山,あそさん,Aso San,131゜ 04’,32゜ 53’,Mountain
4931,阿蘇市,あそし,Aso Shi,131゜ 07’,32゜ 57’,Municipality
6240,厚沢部町,あっさぶちょう,Assabu Cho,140゜ 13’,41゜ 55’,Municipality
6240,厚沢部川,あっさぶがわ,Assabu Gawa,140゜ 15’,41゜ 53’,River
5135,明日香村,あすかむら,Asuka Mura,135゜ 49’,34゜ 28’,Municipality
5436,足羽川,あすわがわ,Asuwa Gawa,136゜ 15’,36゜ 01’,River
5235,愛宕山,あたごやま,Atago Yama,135゜ 37’,35゜ 03’,Mountain
5239,愛宕山,あたごやま,Atago Yama,139゜ 58’,35゜ 06’,Mountain
5239,熱海市,あたみし,Atami Shi,139゜ 04’,35゜ 05’,Municipality
5538,当間山,あてまやま,Atema Yama,138゜ 45’,37゜ 00’,Mountain
5132,阿戸,あと,Ato,132゜ 38’,34゜ 22’,Populated area
5131,阿東町,あとうちょう,Ato Cho,131゜ 43’,34゜ 23’,Municipality
6646,安渡移矢岬,あといやみさき,Atoiya Misaki,146゜ 34’,44゜ 28’,Cape
6747,阿登佐岳,あとさだけ,Atosa Dake,147゜ 07’,44゜ 48’,Mountain
6544,アトサヌプリ,あとさぬぷり,Atosa Nupuri,144゜ 25’,43゜ 36’,Mountain
5339,厚木市,あつぎし,Atsugi Shi,139゜ 21’,35゜ 26’,Municipality
6441,厚真町,あつまちょう,Atsuma Cho,141゜ 52’,42゜ 43’,Municipality
6341,厚真川,あつまがわ,Atsuma Gawa,141゜ 48’,42゜ 36’,River
5137,渥美半島,あつみはんとう,Atsumi Hanto,137゜ 06’,34゜ 36’,Extensive natural featur
5134,阿波市,あわし,Awa Shi,134゜ 14’,34゜ 04’,Municipality
5133,粟島,あわしま,Awa Shima,133゜ 38’,34゜ 16’,Island
5739,粟島,あわしま,Awa Shima,139゜ 14’,38゜ 27’,Island
5741,鮑荒崎,あわびあらさき,Awabiara Saki,141゜ 35’,38゜ 16’,Cape
5639,粟ヶ岳,あわがたけ,Awagatake,139゜ 11’,37゜ 33’,Mountain
5134,淡路市,あわじし,Awaji Shi,134゜ 54’,34゜ 26’,Municipality
5134,淡路島,あわじしま,Awaji Shima,134゜ 50’,34゜ 24’,Island
5436,芦原,あわら,Awara,136゜ 11’,36゜ 13’,Populated area
5436,あわら市,あわらし,Awara Shi,136゜ 13’,36゜ 12’,Municipality
5739,粟島浦村,あわしまうらむら,Awashimaura Mura,139゜ 15’,38゜ 28’,Municipality
5436,粟津,あわづ,Awazu,136゜ 26’,36゜ 19’,Populated area
4731,綾町,あやちょう,Aya Cho,131゜ 15’,31゜ 59’,Municipality
5235,綾部市,あやべし,Ayabe Shi,135゜ 15’,35゜ 17’,Municipality
5133,綾川町,あやがわちょう,Ayagawa Cho,133゜ 55’,34゜ 14’,Municipality
5339,綾瀬市,あやせし,Ayase Shi,139゜ 25’,35゜ 26’,Municipality
5131,莇ヶ岳,あざみがだけ,Azamigadake,131゜ 46’,34゜ 19’,Mountain
5236,安土町,あづちちょう,Azuchi Cho,136゜ 08’,35゜ 07’,Municipality
5029,的山大島,あずちおおしま,Azuchi-oshima,129゜ 32’,33゜ 29’,Island
5438,四阿山,あずまやさん,Azumaya San,138゜ 24’,36゜ 32’,Mountain
5437,安曇野市,あづみのし,Azumino Shi,137゜ 53’,36゜ 18’,Municipality
5437,梓川,あずさがわ,Azusa Gawa,137゜ 41’,36゜ 16’,River
5639,磐梯町,ばんだいまち,Bandai Machi,139゜ 59’,37゜ 33’,Municipality
5640,磐梯山,ばんだいさん,Bandai San,140゜ 03’,37゜ 36’,Mountain
5439,坂東市,ばんどうし,Bando Shi,139゜ 53’,36゜ 02’,Municipality
4931,番匠川,ばんじょうがわ,Banjo Gawa,131゜ 55’,32゜ 58’,River
,米寿海山,べいじゅかいざん,Beiju Kaizan,134゜ 20’,24゜ 31’,Undersea feature
6444,別寒辺牛川,べかんべうしがわ,Bekanbeushi Gawa,144゜ 51’,43゜ 04’,River
6440,弁慶岬,べんけいみさき,Benkei Misaki,140゜ 11’,42゜ 49’,Cape
4931,別府市,べっぷし,Beppu Shi,131゜ 29’,33゜ 17’,Municipality
4931,別府湾,べっぷわん,Beppu Wan,131゜ 32’,33゜ 18’,Sea Area
6646,ベルタルベ山,べるたるべやま,Berutarube Yama,146゜ 55’,44゜ 27’,Mountain
5436,別山,べっさん,Bessan,136゜ 45’,36゜ 06’,Mountain
5033,別子山,べっしやま,Besshiyama,133゜ 22’,33゜ 50’,Populated area
5438,別所,べっしょ,Bessho,138゜ 09’,36゜ 21’,Populated area
6545,別海町,べつかいちょう,Betsukai Cho,145゜ 07’,43゜ 23’,Municipality
6748,別飛,べっとぶ,Bettobu,148゜ 01’,45゜ 15’,Populated area
4739,ベヨネース列岩,べよねえすれつがん,Beyonesu Retsugan,139゜ 54’,31゜ 53’,Island
6441,美唄市,びばいし,Bibai Shi,141゜ 51’,43゜ 19’,Municipality
6542,美瑛町,びえいちょう,Biei Cho,142゜ 28’,43゜ 35’,Municipality
6542,美瑛岳,びえいだけ,Biei Dake,142゜ 42’,43゜ 26’,Mountain
6642,美深町,びふかちょう,Bifuka Cho,142゜ 20’,44゜ 28’,Municipality
6544,美幌町,びほろちょう,Bihoro Cho,144゜ 06’,43゜ 49’,Municipality
6544,美幌峠,びほろとうげ,Bihoro Toge,144゜ 14’,43゜ 38’,Pass
5133,備後灘,びんごなだ,Bingo Nada,133゜ 21’,34゜ 17’,Sea Area
6342,平取町,びらとりちょう,Biratori Cho,142゜ 07’,42゜ 35’,Municipality
4731,枇榔島,びろうじま,Biro Jima,131゜ 06’,31゜ 25’,Island
4928,美良島,びりょうじま,Biryo Jima,128゜ 54’,33゜ 09’,Island
5133,備讃瀬戸,びさんせと,Bisan Seto,133゜ 54’,34゜ 24’,Sea Area
5133,備讃諸島,びさんしょとう,Bisan Shoto,133゜ 54’,34゜ 24’,Extensive natural featur
4027,備瀬崎,びせざき,Bise Zaki,127゜ 52’,26゜ 42’,Cape
5236,琵琶湖,びわこ,Biwa Ko,136゜ 04’,35゜ 15’,Lake
5234,備前市,びぜんし,Bizen Shi,134゜ 11’,34゜ 44’,Municipality
4931,坊中,ぼうちゅう,Bochu,131゜ 05’,32゜ 55’,Populated area
4630,坊ノ岬,ぼうのみさき,Bonomisaki,130゜ 12’,31゜ 14’,Cape
,望星海山,ぼうせいかいざん,Bosei Kaizan,145゜ 20’,37゜ 08’,Undersea feature
5340,房総半島,ぼうそうはんとう,Boso Hanto,140゜ 09’,35゜ 28’,Extensive natural featur
5339,武甲山,ぶこうざん,Buko Zan,139゜ 05’,35゜ 56’,Mountain
5235,武奈ヶ嶽,ぶながだけ,Bunagadake,135゜ 53’,35゜ 15’,Mountain
4932,豊後水道,ぶんごすいどう,Bungo Suido,132゜ 07’,33゜ 11’,Sea Area
4931,豊後大野市,ぶんごおおのし,Bungoono Shi,131゜ 35’,32゜ 58’,Municipality
5031,豊後高田市,ぶんごたかだし,Bungotakada Shi,131゜ 26’,33゜ 33’,Municipality
5337,舞台峠,ぶたいとうげ,Butai Toge,137゜ 19’,35゜ 44’,Pass
5031,豊前市,ぶぜんし,Buzen Shi,131゜ 07’,33゜ 36’,Municipality
4929,ᒑ風岳,びょうぶだけ,Byobu Dake,129゜ 23’,33゜ 12’,Mountain
5740,ᒑ風岳,びょうぶだけ,Byobu Dake,140゜ 28’,38゜ 05’,Mountain
6646,爺爺岳,ちゃちゃだけ,Chacha Dake,146゜ 14’,44゜ 21’,Mountain
6444,茶路川,ちゃろがわ,Charo Gawa,144゜ 04’,42゜ 56’,River
3927,北谷町,ちゃたんちょう,Chatan Cho,127゜ 45’,26゜ 19’,Municipality
5539,茶臼岳,ちゃうすだけ,Chausu Dake,139゜ 57’,37゜ 07’,Mountain
5237,茶臼山,ちゃうすやま,Chausu Yama,137゜ 39’,35゜ 13’,Mountain
5340,千葉県,ちばけん,Chiba Ken,140゜ 07’,35゜ 36’,Municipality
5340,千葉市,ちばし,Chiba Shi,140゜ 06’,35゜ 36’,Municipality
5433,知夫村,ちぶむら,Chibu Mura,133゜ 02’,36゜ 00’,Municipality
5433,知夫里島,ちぶりしま,Chiburi Shima,133゜ 01’,36゜ 00’,Island
4042,父島,ちちじま,Chichi Jima,142゜ 12’,27゜ 03’,Island
5339,秩父市,ちちぶし,Chichibu Shi,139゜ 05’,35゜ 59’,Municipality
4042,父島列島,ちちじまれっとう,Chichijima Retto,142゜ 15’,27゜ 06’,Extensive natural featur
5339,茅ヶ崎市,ちがさきし,Chigasaki Shi,139゜ 24’,35゜ 20’,Municipality
5135,千早赤阪村,ちはやあかさかむら,Chihayaakasaka Mura,135゜ 37’,34゜ 27’,Municipality
6341,チキウ岬,ちきうみさき,Chikiu Misaki,141゜ 00’,42゜ 17’,Cape
4930,筑後川,ちくごがわ,Chikugo Gawa,130゜ 21’,33゜ 08’,River
4930,筑後市,ちくごし,Chikugo Shi,130゜ 30’,33゜ 12’,Municipality
5438,筑北村,ちくほくむら,Chikuhoku Mura,138゜ 00’,36゜ 25’,Municipality
5031,築上町,ちくじょうまち,Chikujo Machi,131゜ 03’,33゜ 39’,Municipality
5538,千曲川,ちくまがわ,Chikuma Gawa,138゜ 25’,36゜ 55’,River
5438,千曲市,ちくまし,Chikuma Shi,138゜ 07’,36゜ 32’,Municipality
5234,千種川,ちくさがわ,Chikusa Gawa,134゜ 19’,34゜ 56’,River
5439,筑西市,ちくせいし,Chikusei Shi,139゜ 58’,36゜ 18’,Municipality
5030,筑紫野市,ちくしのし,Chikushino Shi,130゜ 30’,33゜ 29’,Municipality
5030,筑前町,ちくぜんまち,Chikuzen Machi,130゜ 35’,33゜ 27’,Municipality
4128,知名町,ちなちょう,China Cho,128゜ 34’,27゜ 20’,Municipality
5338,茅野市,ちのし,Chino Shi,138゜ 09’,35゜ 59’,Municipality
6541,秩父別町,ちっぷべつちょう,Chippubetsu Cho,141゜ 57’,43゜ 46’,Municipality
4730,知覧町,ちらんちょう,Chiran Cho,130゜ 26’,31゜ 22’,Municipality
4630,知林ヶ島,ちりんがしま,Chiringashima,130゜ 41’,31゜ 16’,Island
6847,散布山,ちりっぷやま,Chirippu Yama,147゜ 54’,45゜ 20’,Mountain
